IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
4.255.56.137,80,80,false,IAD,North America,Ashburn,375,2.39
4.255.56.138,80,0,false,IAD,North America,Ashburn,376,1.77
4.153.39.186,443,0,true,IAD,North America,Ashburn,375,1.61
4.255.56.137,443,0,true,IAD,North America,Ashburn,243,1.54
40.123.47.225,8443,0,true,IAD,North America,Ashburn,375,0.98
15.197.201.183,443,0,true,IAD,North America,Ashburn,160,0.97
150.136.240.243,443,0,true,IAD,North America,Ashburn,224,0.74
107.175.222.33,8443,0,true,IAD,North America,Ashburn,375,0.47
40.79.73.114,8443,0,true,IAD,North America,Ashburn,242,0.47
34.198.89.145,443,443,true,IAD,North America,Ashburn,375,0.45
20.119.73.200,80,80,false,IAD,North America,Ashburn,230,0.45
40.123.42.160,8443,443,true,IAD,North America,Ashburn,375,0.39
20.62.202.159,443,0,true,IAD,North America,Ashburn,375,0.38
172.212.108.47,443,443,true,IAD,North America,Ashburn,242,0.34
104.46.101.90,8443,0,true,IAD,North America,Ashburn,241,0.32
20.109.23.42,443,0,true,IAD,North America,Ashburn,208,0.32
18.211.101.20,443,443,true,IAD,North America,Ashburn,240,0.31
150.136.169.72,443,0,true,IAD,North America,Ashburn,240,0.31
34.194.76.43,443,443,true,IAD,North America,Ashburn,237,0.31
20.121.115.188,443,0,true,IAD,North America,Ashburn,208,0.31
172.200.2.241,443,443,true,IAD,North America,Ashburn,241,0.30
129.159.83.88,8443,0,true,IAD,North America,Ashburn,228,0.29
18.235.208.126,443,443,true,IAD,North America,Ashburn,221,0.27
20.246.127.166,443,0,true,IAD,North America,Ashburn,216,0.25
67.226.221.231,443,443,true,IAD,North America,Ashburn,375,0.23
107.175.245.68,50242,0,true,IAD,North America,Ashburn,375,0.23
129.80.26.68,443,0,true,IAD,North America,Ashburn,215,0.19
172.208.44.21,443,0,true,IAD,North America,Ashburn,375,0.17
40.123.41.147,8443,443,true,IAD,North America,Ashburn,241,0.16
204.110.222.83,443,0,true,IAD,North America,Ashburn,223,0.16
104.46.111.142,8443,0,true,IAD,North America,Ashburn,376,0.14
47.253.130.14,8443,443,true,IAD,North America,Ashburn,375,0.11
47.89.149.186,8443,0,true,IAD,North America,Ashburn,375,0.04
47.89.156.48,80,80,false,IAD,North America,Ashburn,376,0.03
